DayOfWeek,DayOfWeekNbr,StartDate,ed_visits,ed_visits_known_to_PARIS_MH
Saturday,6,01/04/2017,48,14
Sunday,7,02/04/2017,58,26
Monday,1,03/04/2017,53,16
Tuesday,2,04/04/2017,55,27
Wednesday,3,05/04/2017,59,18
Thursday,4,06/04/2017,48,20
Friday,5,07/04/2017,43,14
Saturday,6,08/04/2017,47,17
Sunday,7,09/04/2017,42,13
Monday,1,10/04/2017,50,7
Tuesday,2,11/04/2017,54,13
Wednesday,3,12/04/2017,46,16
Thursday,4,13/04/2017,38,8
Friday,5,14/04/2017,39,11
Saturday,6,15/04/2017,51,14
Sunday,7,16/04/2017,51,17
Monday,1,17/04/2017,51,16
Tuesday,2,18/04/2017,62,17
Wednesday,3,19/04/2017,55,19
Thursday,4,20/04/2017,45,15
Friday,5,21/04/2017,51,20
Saturday,6,22/04/2017,52,16
Sunday,7,23/04/2017,54,18
Monday,1,24/04/2017,55,17
Tuesday,2,25/04/2017,43,16
Wednesday,3,26/04/2017,44,22
Thursday,4,27/04/2017,63,24
Friday,5,28/04/2017,51,12
Saturday,6,29/04/2017,41,19
Sunday,7,30/04/2017,72,22
Monday,1,01/05/2017,53,12
Tuesday,2,02/05/2017,48,25
Wednesday,3,03/05/2017,59,20
Thursday,4,04/05/2017,57,21
Friday,5,05/05/2017,57,18
Saturday,6,06/05/2017,38,9
Sunday,7,07/05/2017,31,13
Monday,1,08/05/2017,59,22
Tuesday,2,09/05/2017,56,21
Wednesday,3,10/05/2017,52,16
Thursday,4,11/05/2017,57,27
Friday,5,12/05/2017,44,19
Saturday,6,13/05/2017,52,14
Sunday,7,14/05/2017,56,20
Monday,1,15/05/2017,53,23
Tuesday,2,16/05/2017,54,13
Wednesday,3,17/05/2017,34,15
Thursday,4,18/05/2017,52,20
Friday,5,19/05/2017,51,17
Saturday,6,20/05/2017,48,10
Sunday,7,21/05/2017,61,11
Monday,1,22/05/2017,50,12
Tuesday,2,23/05/2017,59,23
Wednesday,3,24/05/2017,58,23
Thursday,4,25/05/2017,54,19
Friday,5,26/05/2017,51,17
Saturday,6,27/05/2017,61,26
Sunday,7,28/05/2017,47,9
Monday,1,29/05/2017,67,20
Tuesday,2,30/05/2017,59,20
Wednesday,3,31/05/2017,54,15
Thursday,4,01/06/2017,48,13
Friday,5,02/06/2017,61,16
Saturday,6,03/06/2017,52,13
Sunday,7,04/06/2017,47,13
Monday,1,05/06/2017,50,23
Tuesday,2,06/06/2017,45,10
Wednesday,3,07/06/2017,48,19
Thursday,4,08/06/2017,48,19
Friday,5,09/06/2017,54,20
Saturday,6,10/06/2017,43,15
Sunday,7,11/06/2017,62,26
Monday,1,12/06/2017,54,18
Tuesday,2,13/06/2017,47,22
Wednesday,3,14/06/2017,50,13
Thursday,4,15/06/2017,47,17
Friday,5,16/06/2017,60,16
Saturday,6,17/06/2017,41,17
Sunday,7,18/06/2017,47,13
Monday,1,19/06/2017,69,25
Tuesday,2,20/06/2017,50,20
Wednesday,3,21/06/2017,51,21
Thursday,4,22/06/2017,59,19
Friday,5,23/06/2017,44,16
Saturday,6,24/06/2017,40,16
Sunday,7,25/06/2017,38,10
Monday,1,26/06/2017,55,21
Tuesday,2,27/06/2017,52,19
Wednesday,3,28/06/2017,68,17
Thursday,4,29/06/2017,60,27
Friday,5,30/06/2017,49,16
Saturday,6,01/07/2017,55,12
Sunday,7,02/07/2017,58,22
Monday,1,03/07/2017,56,25
Tuesday,2,04/07/2017,58,15
Wednesday,3,05/07/2017,71,25
Thursday,4,06/07/2017,52,21
Friday,5,07/07/2017,63,27
Saturday,6,08/07/2017,59,14
Sunday,7,09/07/2017,48,20
Monday,1,10/07/2017,59,17
Tuesday,2,11/07/2017,52,27
Wednesday,3,12/07/2017,54,14
Thursday,4,13/07/2017,55,14
Friday,5,14/07/2017,71,26
Saturday,6,15/07/2017,60,25
Sunday,7,16/07/2017,45,11
Monday,1,17/07/2017,66,24
Tuesday,2,18/07/2017,66,25
Wednesday,3,19/07/2017,56,22
Thursday,4,20/07/2017,43,18
Friday,5,21/07/2017,44,21
Saturday,6,22/07/2017,45,19
Sunday,7,23/07/2017,44,17
Monday,1,24/07/2017,61,24
Tuesday,2,25/07/2017,57,19
Wednesday,3,26/07/2017,50,10
Thursday,4,27/07/2017,46,17
Friday,5,28/07/2017,46,15
Saturday,6,29/07/2017,50,17
